time_taken,dataset,frac_clients,num_clients,num_rounds,approach,epochs,sparsify_by,keep_first_last,learning_rate,regularisation,losses,accs,bytes_size,spars_label,plot
0 days 00:27:51.512013,FEMNIST,0.25,12,30,Top-k,1,0.3,FALSE,0.1,0,"[(1, 3.695003610220015), (2, 3.644166482901721), (3, 3.6312075905177905), (4, 3.6269493310347847), (5, 3.6280280329425882), (6, 3.6130713276241138), (7, 3.522618236008638), (8, 3.0661705043745338), (9, 2.5093008720356487), (10, 1.9242666878315233), (11, 1.455944614010568), (12, 1.1851779182690272), (13, 0.9657862497875409), (14, 0.9171018084013685), (15, 0.8035485364080216), (16, 0.7576333241803306), (17, 0.7531204957584416), (18, 0.7044946112617942), (19, 0.6703063828049239), (20, 0.684859671022581), (21, 0.6581668805169023), (22, 0.6346675597408914), (23, 0.606816394451242), (24, 0.6126655100711754), (25, 0.5880156791543368), (26, 0.5995958599707355), (27, 0.6029542411521355), (28, 0.5563777492653509), (29, 0.548079314901962), (30, 0.5618053528000109)]","[(1, 5.430283624725115), (2, 6.3055665597066275), (3, 6.305566559706627), (4, 6.305566559706628), (5, 6.305566559706627), (6, 6.3055665597066275), (7, 10.956281273265668), (8, 24.497341248698984), (9, 33.593652789153), (10, 49.56535612458291), (11, 60.72571938192506), (12, 65.97833159347236), (13, 70.4933607321967), (14, 72.55678625030664), (15, 74.33004396921574), (16, 75.68521208970468), (17, 76.25772450603674), (18, 77.76741454832482), (19, 78.40788704609892), (20, 77.73459546876116), (21, 78.89076711637236), (22, 78.95745869573592), (23, 80.03166173941156), (24, 79.81121581245027), (25, 80.31697318077006), (26, 80.10053485999953), (27, 80.2261752057388), (28, 81.43126712672779), (29, 81.50897619922954), (30, 81.46440497696072)]",886648,30%,1
0 days 00:29:06.380290,FEMNIST,0.25,12,30,Threshold,1,0.001,FALSE,0.1,0,"[(1, 3.6428042702052905), (2, 3.6331225492939447), (3, 3.6280819377543763), (4, 3.631469076464635), (5, 3.626618234267146), (6, 3.590435146545031), (7, 3.3129722316813024), (8, 2.7751134248994154), (9, 2.131472859323395), (10, 1.523370138421562), (11, 1.2364282000879323), (12, 1.0441017215666564), (13, 0.8911919238404458), (14, 0.830480119271308), (15, 0.8335751028072019), (16, 0.749688274163452), (17, 0.7047845566679972), (18, 0.6473983548905539), (19, 0.635238047457815), (20, 0.6467622698787947), (21, 0.6284347072428798), (22, 0.6005864140594969), (23, 0.6155356119230667), (24, 0.5865228840190432), (25, 0.6123223179800911), (26, 0.5805163256222416), (27, 0.5851056769675349), (28, 0.5672427847148469), (29, 0.5296621054688596), (30, 0.5601011915421634)]","[(1, 6.3055665597066275), (2, 5.880406944494768), (3, 6.3055665597066275), (4, 6.3055665597066275), (5, 6.3055665597066275), (6, 9.941085188233217), (7, 19.41579696370226), (8, 28.31261141824684), (9, 47.04542377417333), (10, 57.87909803159868), (11, 64.27508382055451), (12, 69.10195892273863), (13, 72.20876112540529), (14, 73.86443377534516), (15, 74.02877420672135), (16, 75.65922795857354), (17, 77.12544849777188), (18, 78.7764777378695), (19, 78.65044250152677), (20, 78.7599189445126), (21, 79.30467760737768), (22, 79.71037381542804), (23, 79.5994323263155), (24, 80.40381759247441), (25, 79.41901329959713), (26, 80.26839632037293), (27, 80.70042215449536), (28, 80.55055126007169), (29, 81.99398390386884), (30, 81.10020546975059)]",869419.4222,0.001 (~29.4%),1
0 days 00:27:13.224458,FEMNIST,0.25,12,30,Top-k,1,0.05,FALSE,0.1,0,"[(1, 3.723790647080226), (2, 3.6341051092799406), (3, 3.640279304907189), (4, 3.6341816460864145), (5, 3.6164597591257985), (6, 3.5474316673989623), (7, 3.282954649895615), (8, 2.8489589128435027), (9, 1.874766498618985), (10, 1.4177223371793024), (11, 1.1018344308278576), (12, 1.0357290241659058), (13, 1.081586815370536), (14, 0.9219733691363601), (15, 0.8384707774619878), (16, 0.7835854743636266), (17, 0.8113918554656763), (18, 0.9552619509074999), (19, 0.8640397679702789), (20, 0.8129638683351671), (21, 0.8806086873045619), (22, 0.8395617690330707), (23, 0.7718085934703024), (24, 0.8267236156678348), (25, 0.7541284838818615), (26, 0.7482014128140041), (27, 0.723269775602388), (28, 0.7258264002728606), (29, 0.7015182951534664), (30, 0.7151647732124565)]","[(1, 5.228095405450879), (2, 5.430283624725115), (3, 5.228095405450879), (4, 6.3055665597066275), (5, 6.3055665597066275), (6, 10.469107574575464), (7, 17.475067221274657), (8, 26.644731710281167), (9, 52.45650721202529), (10, 61.42414298049279), (11, 67.71051222982365), (12, 69.2502213124457), (13, 68.01944369844605), (14, 71.746983328509), (15, 74.01152314539347), (16, 74.91051766385203), (17, 75.01527310730833), (18, 71.15533199635043), (19, 74.77195464300081), (20, 73.66803088741246), (21, 72.75227999617682), (22, 74.11435462929843), (23, 76.08413040866772), (24, 74.1415876338876), (25, 76.80952832388265), (26, 75.24444410195599), (27, 77.01860008235914), (28, 76.1023919068607), (29, 77.21985074786217), (30, 77.65668715967391)]",147768,5%,2
0 days 00:28:21.686275,FEMNIST,0.25,12,30,Threshold,1,0.003,FALSE,0.1,0,"[(1, 3.6350709858888424), (2, 3.636458390988178), (3, 3.62332524720186), (4, 3.6380995711924866), (5, 3.647163973091552), (6, 3.5559466388655006), (7, 3.270700864910339), (8, 2.82711829087749), (9, 2.0318669821164623), (10, 1.5447608088114246), (11, 1.1784159394895068), (12, 1.4793251249360742), (13, 1.0068009306925425), (14, 0.9494412654305097), (15, 0.8510988881314023), (16, 0.7909632996997292), (17, 0.7936302533616191), (18, 0.7426975417581404), (19, 0.701814784951832), (20, 0.7441591056792632), (21, 0.7234884166152951), (22, 0.7193772913136097), (23, 0.751520378474632), (24, 0.7092954193745156), (25, 0.8947689759064905), (26, 0.6721667425232645), (27, 0.7085547471875961), (28, 0.8712512363304792), (29, 0.6440949476561191), (30, 0.657398003645195)]","[(1, 6.3055665597066275), (2, 5.228095405450879), (3, 6.305566559706627), (4, 6.305566559706628), (5, 9.575078321468098), (6, 8.776040436073531), (7, 17.08219343025525), (8, 28.21816128029837), (9, 50.5962314499135), (10, 57.7890243714951), (11, 65.61392277240662), (12, 57.10278301685394), (13, 70.07830307309777), (14, 70.15868176270452), (15, 73.19182003476594), (16, 75.07370695228157), (17, 75.42628919440844), (18, 75.3597034006914), (19, 77.13808719420592), (20, 77.23938932902377), (21, 75.56974755150713), (22, 77.02756193859747), (23, 75.37367284179781), (24, 77.27485205032856), (25, 73.1607758005966), (26, 77.7355110146875), (27, 77.35626892562965), (28, 73.25214648419741), (29, 79.71527995999499), (30, 78.67567922123236)]",164855.5556,0.003 (~5.6%),2
0 days 00:27:08.445006,FEMNIST,0.25,12,30,Top-k,1,0.01,FALSE,0.1,0,"[(1, 3.6427437355799706), (2, 3.636865771335104), (3, 3.6503341671842966), (4, 3.624198872110118), (5, 3.6313312882962436), (6, 3.644590799852928), (7, 3.6207296715019655), (8, 3.5823786821424592), (9, 3.2763043249615973), (10, 3.014540398343009), (11, 2.660651965911344), (12, 2.179110299726451), (13, 1.7802614525238178), (14, 1.4980772307015353), (15, 1.3799170729536447), (16, 1.3033669861901251), (17, 2.668777034889837), (18, 1.2968443595104335), (19, 1.6847898352960622), (20, 1.3983285963905523), (21, 1.2035616001357203), (22, 0.9422477344918695), (23, 1.0389711146028886), (24, 1.0108773663917683), (25, 1.022012744631086), (26, 0.9931801460359407), (27, 0.8826114944419505), (28, 0.8668109817164285), (29, 1.0995206449713026), (30, 1.0568778999843953)]","[(1, 6.305566559706628), (2, 6.305566559706627), (3, 6.3055665597066275), (4, 5.228095405450879), (5, 6.3055665597066275), (6, 6.3055665597066275), (7, 6.3055665597066275), (8, 5.534273764124488), (9, 13.438225221595712), (10, 22.344864153217166), (11, 29.380767475349423), (12, 42.314328437781484), (13, 53.418919524614104), (14, 58.84680102164298), (15, 61.81457192212586), (16, 62.875494576700966), (17, 41.6725668525717), (18, 64.04634517253078), (19, 54.041192220146144), (20, 62.09715282788447), (21, 65.25828446255133), (22, 71.09622799887909), (23, 68.28316993591244), (24, 68.45830619676772), (25, 69.86912450770403), (26, 70.22683962560585), (27, 72.6186172720907), (28, 73.54789892299871), (29, 67.43511140592875), (30, 68.75514401229522)]",29552,1%,3
0 days 00:28:14.322264,FEMNIST,0.25,12,30,Threshold,1,0.007,FALSE,0.1,0,"[(1, 3.676426620957274), (2, 3.6316544846718357), (3, 3.6278987523191466), (4, 3.622732605252947), (5, 3.630669201382939), (6, 3.636669413643594), (7, 3.6163725927009347), (8, 3.6223076841105586), (9, 3.6648142545119575), (10, 3.515679467538869), (11, 3.3367715444624055), (12, 3.082158681028378), (13, 2.7241125225280385), (14, 2.013264835991474), (15, 1.736464175239483), (16, 1.3829544045910331), (17, 1.3153183502810342), (18, 1.155437457681813), (19, 1.1105364622166438), (20, 1.0254165754647728), (21, 1.0954011919682625), (22, 0.9220051695101009), (23, 1.0395968200997536), (24, 1.5336760367665971), (25, 1.1446930143218603), (26, 1.1116737851074763), (27, 1.0376338582509053), (28, 1.087970028752866), (29, 0.9347734875190332), (30, 0.9431958237419957)]","[(1, 6.305566559706627), (2, 5.430283624725115), (3, 6.305566559706628), (4, 5.430283624725115), (5, 5.228095405450878), (6, 5.792151234859477), (7, 6.3055665597066275), (8, 6.2461504375450065), (9, 6.305566559706627), (10, 9.31765765512264), (11, 14.435027250530819), (12, 22.43810418708495), (13, 28.908089474017228), (14, 48.43655573684206), (15, 55.02765865144222), (16, 58.92962662611489), (17, 63.345469147884906), (18, 64.02300744203242), (19, 67.8540113411975), (20, 66.87504345459796), (21, 67.90126476585627), (22, 71.74056251530416), (23, 69.7633494799639), (24, 60.57822432865036), (25, 67.72509974546114), (26, 68.73160742146753), (27, 67.06487428699405), (28, 69.57629391009009), (29, 70.85632381764391), (30, 71.93344892460397)]",24763.84444,0.007 (~0.8%),3
0 days 00:54:28.873336,FEMNIST,0.25,12,30,Top-k,1,0.005,FALSE,0.1,0,"[(1, 3.7137244177160795), (2, 3.6284384905181315), (3, 3.6445041606144875), (4, 3.658076404784777), (5, 3.6484064167330725), (6, 3.640516592108685), (7, 3.6276112328404966), (8, 3.636928786402163), (9, 3.6246703692844937), (10, 3.6556692523245484), (11, 3.63510923504089), (12, 3.618601482107032), (13, 3.594978856744233), (14, 3.48900072026697), (15, 3.248024977512241), (16, 2.980416124651891), (17, 2.656736918117689), (18, 2.459739583619633), (19, 2.2075294345061973), (20, 1.8818064402349246), (21, 1.727015051042071), (22, 2.2016531873193586), (23, 1.2790188187768001), (24, 1.268531712686053), (25, 2.7326109653674298), (26, 1.425662659478854), (27, 1.200537695092444), (28, 1.1599096165310523), (29, 1.3037509816403714), (30, 1.1527569647531333)]","[(1, 5.430283624725115), (2, 6.305566559706628), (3, 5.792151234859478), (4, 5.962028936228549), (5, 6.3055665597066275), (6, 6.3055665597066275), (7, 6.305566559706627), (8, 5.430283624725115), (9, 6.3055665597066275), (10, 5.430283624725116), (11, 6.305566559706627), (12, 6.305566559706627), (13, 6.3055665597066275), (14, 8.977592728146305), (15, 17.111904144161475), (16, 23.164763098304842), (17, 31.950037446530224), (18, 36.44117090110362), (19, 41.21956892478491), (20, 51.444419393502024), (21, 54.30867263603248), (22, 44.972528210369525), (23, 64.52894724443586), (24, 64.51434278692426), (25, 44.31365249254169), (26, 59.02331769668006), (27, 65.12111636518662), (28, 66.51640391453213), (29, 62.69363263514935), (30, 66.58429850594672)]",14777,0.50%,4
0 days 00:28:09.498890,FEMNIST,0.25,12,30,Threshold,1,0.0085,FALSE,0.1,0,"[(1, 3.7087678568703786), (2, 3.632557821569976), (3, 3.6349020892788904), (4, 3.656183229470105), (5, 3.6368756753317317), (6, 3.629952845366105), (7, 3.629390359665296), (8, 3.6253513179210404), (9, 3.636104296453251), (10, 3.6304716945434947), (11, 3.6300611066522066), (12, 3.6314094955136316), (13, 3.6376639389843675), (14, 3.609303267105766), (15, 3.595487686417858), (16, 3.435560645524019), (17, 3.1528897596442182), (18, 2.8510964420271216), (19, 2.4987477212218763), (20, 2.2802417855825485), (21, 2.080599054971837), (22, 1.9306270954031381), (23, 1.5672469916551008), (24, 1.4250246223455632), (25, 1.562991652429474), (26, 1.4203243051996883), (27, 1.2119552848039206), (28, 1.2737843683047325), (29, 2.092821577320928), (30, 1.3165262815374765)]","[(1, 6.305566559706627), (2, 6.305566559706627), (3, 6.305566559706628), (4, 5.228095405450878), (5, 6.305566559706628), (6, 6.3055665597066275), (7, 6.305566559706628), (8, 6.3055665597066275), (9, 6.305566559706627), (10, 6.305566559706627), (11, 6.305566559706628), (12, 6.305566559706627), (13, 6.3055665597066275), (14, 6.305566559706627), (15, 6.305566559706627), (16, 11.30456999717979), (17, 21.560066216460303), (18, 28.827630518574765), (19, 36.577657148071204), (20, 43.16287878292187), (21, 46.336932722303615), (22, 46.95595545878405), (23, 57.03285449833476), (24, 60.221962618028236), (25, 54.73402265842054), (26, 60.49939026227207), (27, 64.8840204924125), (28, 63.280523842431194), (29, 49.21558799234485), (30, 66.41203514792612)]",15333.44444,0.0085 (~0.5%),4
0 days 00:55:20.667427,FEMNIST,0.25,12,30,Top-k,1,0.004,FALSE,0.1,0,"[(1, 3.7259842460940344), (2, 3.6216233443029178), (3, 3.6462387401865137), (4, 3.661267542690964), (5, 3.6403537818363736), (6, 3.6312465741767648), (7, 3.6615989000900933), (8, 3.639515725722224), (9, 3.641769280344803), (10, 3.6255509882980252), (11, 3.6392295864057838), (12, 3.64085034405963), (13, 3.6482008436451787), (14, 3.634786552523974), (15, 3.64750529816432), (16, 3.6263322430367797), (17, 3.631387164133676), (18, 3.6024842099373386), (19, 3.5532114372490358), (20, 3.2950386778908487), (21, 2.995260004671464), (22, 2.679105906012636), (23, 2.3461209683684827), (24, 2.2958912456998175), (25, 2.1776208833137654), (26, 1.566029943664622), (27, 1.3320998886357183), (28, 1.405340514197853), (29, 1.2680140581930646), (30, 1.189785956410888)]","[(1, 6.3055665597066275), (2, 6.3055665597066275), (3, 6.305566559706628), (4, 6.305566559706627), (5, 5.430283624725115), (6, 6.305566559706627), (7, 6.305566559706628), (8, 5.430283624725115), (9, 6.3055665597066275), (10, 6.028484952440842), (11, 6.305566559706629), (12, 6.305566559706628), (13, 6.305566559706627), (14, 6.3055665597066275), (15, 6.3055665597066275), (16, 6.305566559706627), (17, 6.3055665597066275), (18, 5.228095405450878), (19, 9.28287714035162), (20, 18.07501964217273), (21, 26.90594109661349), (22, 35.00973744351006), (23, 40.242242295991254), (24, 42.6821755898336), (25, 46.57797152735206), (26, 58.128096418571864), (27, 62.166997629532794), (28, 60.246402073164354), (29, 64.0264559514809), (30, 64.74234118062596)]",11822,0.40%,5
0 days 00:28:05.172628,FEMNIST,0.25,12,30,Threshold,1,0.01,FALSE,0.1,0,"[(1, 3.7578334763923786), (2, 3.632442863831609), (3, 3.6430425495834826), (4, 3.6511905504309614), (5, 3.6442899615127846), (6, 3.638280354671597), (7, 3.642001517811177), (8, 3.631900485257925), (9, 3.626522545488725), (10, 3.63519731515683), (11, 3.620609548521338), (12, 3.629804029227784), (13, 3.627262978820327), (14, 3.62701716334183), (15, 3.6308394500187466), (16, 3.6207652003128334), (17, 3.6396885066298963), (18, 3.6226890087127686), (19, 3.6375458906896365), (20, 3.614486772821557), (21, 3.5533855242758805), (22, 3.4319042922547145), (23, 3.1831209378212875), (24, 2.862019744719037), (25, 2.6521130859481623), (26, 2.5724787386307804), (27, 2.122547539865008), (28, 1.843466768353622), (29, 1.764664460042989), (30, 1.420101631502187)]","[(1, 6.305566559706628), (2, 5.228095405450878), (3, 6.3055665597066275), (4, 5.228095405450878), (5, 6.3055665597066275), (6, 6.3055665597066275), (7, 6.3055665597066275), (8, 6.305566559706628), (9, 6.3055665597066275), (10, 6.3055665597066275), (11, 6.3055665597066275), (12, 6.305566559706627), (13, 6.305566559706628), (14, 6.3055665597066275), (15, 6.3055665597066275), (16, 6.3055665597066275), (17, 6.305566559706627), (18, 6.305566559706627), (19, 6.3055665597066275), (20, 6.305566559706627), (21, 6.100900252619145), (22, 12.584980884445553), (23, 19.864289179455717), (24, 27.217836002823894), (25, 32.311216018616705), (26, 32.77671294677077), (27, 46.819374122553214), (28, 52.248834323035275), (29, 55.46795960847605), (30, 62.95441920933969)]",10710.44444,0.01 (~0.4%),5
0 days 02:27:44.727121,CIFAR-10,0.3,15,180,Top-k,1,0.25,FALSE,0.1,0,"[(1, 2.324988519577753), (2, 2.3779661791665214), (3, 2.376739581425985), (4, 2.3487701075417653), (5, 2.384374475479126), (6, 2.388233234768822), (7, 2.3595697947910854), (8, 2.3965597107296897), (9, 2.2844587621234713), (10, 2.254249866803487), (11, 2.26661825747717), (12, 2.1702252728598457), (13, 2.133291066260565), (14, 2.1297262521017166), (15, 2.150900670460292), (16, 2.0806099823543005), (17, 2.0958058811369398), (18, 2.0602491492316837), (19, 2.0858991691044397), (20, 2.0037622565314885), (21, 2.2427395332427253), (22, 1.9526812996183123), (23, 2.015574840136937), (24, 1.9242279404685612), (25, 1.855836185954866), (26, 1.8866458359218778), (27, 1.818878994669233), (28, 1.7973730223519462), (29, 1.7810843933196294), (30, 1.744414918763297), (31, 1.7860152880350748), (32, 1.6950572286333356), (33, 1.694621357463655), (34, 1.6761612926210676), (35, 1.633968702952067), (36, 1.5849166450046357), (37, 1.636490892228626), (38, 1.6076443967365084), (39, 1.5627376034146263), (40, 1.5586554567019144), (41, 1.5690625202088129), (42, 1.5260696922029768), (43, 1.497247622694288), (44, 1.5461158445903234), (45, 1.496862598827907), (46, 1.4723327381270273), (47, 1.459291444505964), (48, 1.4608509381612143), (49, 1.439030715397426), (50, 1.4398865574882145), (51, 1.4675290300732566), (52, 1.3951548973719279), (53, 1.4127478616578237), (54, 1.3888833023252942), (55, 1.4027151732217698), (56, 1.3764644685245695), (57, 1.3598142964499338), (58, 1.418456596987588), (59, 1.346673405738104), (60, 1.3786664037477403), (61, 1.3127105951309204), (62, 1.36422985962459), (63, 1.344371817793165), (64, 1.3222506642341614), (65, 1.300858621937888), (66, 1.3137757057235355), (67, 1.3129661940392994), (68, 1.3325216860998244), (69, 1.308693310192653), (70, 1.302411226999192), (71, 1.2673622823896862), (72, 1.2633605270158677), (73, 1.284777878011976), (74, 1.250824390706562), (75, 1.3025891167776926), (76, 1.2981429168156216), (77, 1.3135357453709557), (78, 1.2295397230557032), (79, 1.2731789991969154), (80, 1.236929788475945), (81, 1.2527468687012082), (82, 1.2163371778669811), (83, 1.2384463639486403), (84, 1.2336121763501848), (85, 1.2894650635265168), (86, 1.2052960855620247), (87, 1.2449058856282915), (88, 1.1913279930750529), (89, 1.2147873989173343), (90, 1.1879976244199844), (91, 1.1977742513020833), (92, 1.2274410965896787), (93, 1.2384150964873177), (94, 1.2516302227973939), (95, 1.2326318411600021), (96, 1.2364736188025702), (97, 1.213367103395008), (98, 1.2150390940053122), (99, 1.2477503004528228), (100, 1.1801764712447211), (101, 1.2045580645402272), (102, 1.2157756504558381), (103, 1.251467056785311), (104, 1.240607847770055), (105, 1.2483200737408229), (106, 1.2572705189387003), (107, 1.2276538706961133), (108, 1.2243967365650903), (109, 1.2039032345726377), (110, 1.2796168134326027), (111, 1.2534662649745032), (112, 1.3037468870480855), (113, 1.3135955651601157), (114, 1.2380704840024312), (115, 1.297637643984386), (116, 1.2560964871020543), (117, 1.3325066328048707), (118, 1.2209135095278423), (119, 1.270866348629906), (120, 1.2789012840815952), (121, 1.2321540134293691), (122, 1.372391058149792), (123, 1.2211746400310879), (124, 1.4184984652768997), (125, 1.255584024247669), (126, 1.4591150611639023), (127, 1.245222028096517), (128, 1.4453510332675208), (129, 1.2588330603781201), (130, 1.338694171110789), (131, 1.284598067828587), (132, 1.400740489647502), (133, 1.2900464926447188), (134, 1.3554803791500274), (135, 1.2965285375004723), (136, 1.4479294849293574), (137, 1.317572545153754), (138, 1.4635167195683434), (139, 1.3314467044103713), (140, 1.512937223343622), (141, 1.2742376934914361), (142, 1.4885625646227882), (143, 1.301729736157826), (144, 1.4320736246449606), (145, 1.3132557324000766), (146, 1.4369315967673346), (147, 1.4023626565933227), (148, 1.4409288434755234), (149, 1.4642335471652803), (150, 1.45645350700333), (151, 1.4324259633109684), (152, 1.515094086102077), (153, 1.420998760064443), (154, 1.4286742375010535), (155, 1.4604704147293455), (156, 1.468360451005754), (157, 1.4718139733586992), (158, 1.4569658747741154), (159, 1.4854155381520588), (160, 1.4724945630346025), (161, 1.3613701052608944), (162, 1.5880977341106959), (163, 1.4386734386285147), (164, 1.4947540362675984), (165, 1.4440684420721872), (166, 1.4465466527711777), (167, 1.5001946426573254), (168, 1.4788635439815976), (169, 1.604209732441675), (170, 1.4819916011322112), (171, 1.6220900098482767), (172, 1.5206715597992853), (173, 1.6278300642967225), (174, 1.498240750176566), (175, 1.5347499601897738), (176, 1.4362728959038145), (177, 1.551705755506243), (178, 1.4781333523137228), (179, 1.5487012613387334), (180, 1.4527167836825052)]","[(1, 10.166666666666666), (2, 10.133333333333333), (3, 10.166666666666666), (4, 10.166666666666666), (5, 10.166666666666666), (6, 10.8), (7, 12.866666666666667), (8, 9.633333333333333), (9, 13.9), (10, 15.866666666666667), (11, 14.333333333333334), (12, 19.166666666666668), (13, 20.133333333333333), (14, 20.0), (15, 19.7), (16, 21.933333333333334), (17, 22.0), (18, 23.2), (19, 22.266666666666666), (20, 25.7), (21, 18.566666666666666), (22, 27.433333333333334), (23, 25.033333333333335), (24, 28.4), (25, 31.333333333333332), (26, 29.7), (27, 33.166666666666664), (28, 34.03333333333333), (29, 34.233333333333334), (30, 35.333333333333336), (31, 33.13333333333333), (32, 36.96666666666667), (33, 35.333333333333336), (34, 37.96666666666667), (35, 38.6), (36, 41.03333333333333), (37, 39.1), (38, 40.43333333333333), (39, 41.666666666666664), (40, 42.6), (41, 41.2), (42, 44.2), (43, 44.96666666666667), (44, 42.2), (45, 45.0), (46, 44.43333333333333), (47, 47.36666666666667), (48, 45.8), (49, 47.266666666666666), (50, 48.333333333333336), (51, 46.46666666666667), (52, 49.266666666666666), (53, 47.2), (54, 49.166666666666664), (55, 47.4), (56, 49.233333333333334), (57, 51.03333333333333), (58, 48.0), (59, 51.166666666666664), (60, 49.7), (61, 51.6), (62, 50.766666666666666), (63, 49.9), (64, 51.733333333333334), (65, 52.333333333333336), (66, 52.43333333333333), (67, 52.36666666666667), (68, 51.13333333333333), (69, 53.166666666666664), (70, 52.13333333333333), (71, 53.4), (72, 53.7), (73, 52.03333333333333), (74, 54.56666666666667), (75, 52.7), (76, 53.8), (77, 52.53333333333333), (78, 54.86666666666667), (79, 54.1), (80, 55.36666666666667), (81, 54.9), (82, 55.733333333333334), (83, 54.8), (84, 55.93333333333333), (85, 54.46666666666667), (86, 57.5), (87, 54.9), (88, 57.333333333333336), (89, 55.43333333333333), (90, 57.9), (91, 56.56666666666667), (92, 56.4), (93, 56.266666666666666), (94, 56.53333333333333), (95, 57.266666666666666), (96, 57.2), (97, 56.9), (98, 58.333333333333336), (99, 57.46666666666667), (100, 58.9), (101, 57.63333333333333), (102, 57.93333333333333), (103, 57.1), (104, 58.233333333333334), (105, 57.46666666666667), (106, 56.63333333333333), (107, 58.266666666666666), (108, 59.1), (109, 58.3), (110, 56.3), (111, 58.36666666666667), (112, 57.53333333333333), (113, 57.06666666666667), (114, 57.333333333333336), (115, 58.6), (116, 56.4), (117, 58.3), (118, 59.43333333333333), (119, 59.4), (120, 57.53333333333333), (121, 59.666666666666664), (122, 57.5), (123, 60.06666666666667), (124, 57.166666666666664), (125, 59.56666666666667), (126, 56.233333333333334), (127, 59.43333333333333), (128, 56.43333333333333), (129, 59.733333333333334), (130, 59.233333333333334), (131, 58.36666666666667), (132, 57.36666666666667), (133, 58.9), (134, 58.53333333333333), (135, 58.7), (136, 58.03333333333333), (137, 57.7), (138, 57.666666666666664), (139, 58.56666666666667), (140, 57.43333333333333), (141, 60.266666666666666), (142, 57.56666666666667), (143, 59.93333333333333), (144, 58.7), (145, 59.63333333333333), (146, 58.96666666666667), (147, 59.2), (148, 58.43333333333333), (149, 56.86666666666667), (150, 58.06666666666667), (151, 57.93333333333333), (152, 59.666666666666664), (153, 58.56666666666667), (154, 59.233333333333334), (155, 58.86666666666667), (156, 57.766666666666666), (157, 59.8), (158, 59.233333333333334), (159, 60.53333333333333), (160, 58.7), (161, 60.166666666666664), (162, 58.06666666666667), (163, 60.266666666666666), (164, 58.86666666666667), (165, 56.9), (166, 60.3), (167, 57.63333333333333), (168, 59.3), (169, 57.53333333333333), (170, 58.8), (171, 57.96666666666667), (172, 57.6), (173, 58.9), (174, 59.0), (175, 59.13333333333333), (176, 59.5), (177, 58.666666666666664), (178, 58.63333333333333), (179, 58.833333333333336), (180, 57.96666666666667)]",942676,25%,6
