time_taken,dataset,num_rounds,approach,optimiser,learning_rate,losses,accs,client_bytes,prop_clients_sampled
0 days 00:56:17.544589,FEMNIST,30,FedAvg,SGD,0.1,"[(1, 3.8347418164946343), (2, 3.6874327199500905), (3, 3.720694524901254), (4, 3.5895312632490324), (5, 3.6502181375102634), (6, 3.6947750537353152), (7, 3.70371561050415), (8, 3.6223888947413516), (9, 3.3341824902428523), (10, 2.733493676652079), (11, 2.2449173666740374), (12, 1.7136319386825134), (13, 1.3740268280872932), (14, 1.156400084850334), (15, 1.0619849164083779), (16, 0.9793549178224621), (17, 0.924125743822919), (18, 0.7570261728504429), (19, 0.8033057019628328), (20, 0.7594639579791808), (21, 0.703341173628966), (22, 0.6376760281208489), (23, 0.6702571535966673), (24, 0.6408709036531272), (25, 0.7038439086505345), (26, 0.6138271610744251), (27, 0.7278759810116773), (28, 0.6465667410082715), (29, 0.6217815524241963), (30, 0.5769728724792432)]","[(1, 5.208482788351303), (2, 5.051654117771474), (3, 4.924363840657256), (4, 7.365877592314689), (5, 5.914118825926536), (6, 5.328407614416501), (7, 4.938343704066264), (8, 8.949427609525742), (9, 18.2331662741763), (10, 25.909239277309627), (11, 39.768363703211534), (12, 57.20858312142161), (13, 61.6417461131362), (14, 66.7780726768419), (15, 68.75599660333489), (16, 70.11798806013539), (17, 70.04386192561914), (18, 76.47507818691226), (19, 73.61271258798104), (20, 75.22040842767099), (21, 77.20400971532128), (22, 79.66163764019875), (23, 77.59070999524796), (24, 79.72449678255941), (25, 78.59386463035135), (26, 80.18253711622451), (27, 75.30810090961529), (28, 78.02203240344673), (29, 79.87933588274348), (30, 81.14533806973002)]",1477752,0.24
0 days 02:05:23.996223,CIFAR-10,180,FedAvg,SGD,0.1,"[(1, 2.3239568142663867), (2, 2.3453718049185617), (3, 2.349876733053298), (4, 2.427355868475778), (5, 2.3308253810519264), (6, 2.421351600828625), (7, 2.329532430285499), (8, 2.3664785839262463), (9, 2.4070721853347052), (10, 2.3634282770610993), (11, 2.4424278145744687), (12, 2.354405652909052), (13, 2.299334137780326), (14, 2.3377790178571427), (15, 2.2252402441842216), (16, 2.325264592397781), (17, 2.286204963638669), (18, 2.208657305581229), (19, 2.1642440091995967), (20, 2.161643339338757), (21, 2.1068641696657453), (22, 2.1056938988821847), (23, 2.0932901166734244), (24, 2.1022599731172833), (25, 2.0674107426688786), (26, 2.055400650841849), (27, 2.1107953082947506), (28, 2.0174645310356505), (29, 2.0442923386891683), (30, 2.011134457588196), (31, 2.0136506864002772), (32, 2.030984191667466), (33, 1.992832206544422), (34, 1.9700667245047434), (35, 1.95221365633465), (36, 2.038196983791533), (37, 1.9960938169842675), (38, 1.9718316736675443), (39, 2.0044042326155163), (40, 1.9057920399166288), (41, 1.8889984267098563), (42, 1.9311498290016538), (43, 1.9480233726047333), (44, 1.8216584852763584), (45, 1.8311438310713994), (46, 1.81327299844651), (47, 1.8433462858200074), (48, 1.7521946021488735), (49, 1.7285905179523287), (50, 1.7544842822211129), (51, 1.684987845874968), (52, 1.7137643053418115), (53, 1.7440004621233258), (54, 1.7284786508196877), (55, 1.755322079431443), (56, 1.6574987638564336), (57, 1.605391649972825), (58, 1.6732356287184216), (59, 1.7734845127378192), (60, 1.6250226452237084), (61, 1.7347853478931246), (62, 1.6833369186946323), (63, 1.6303276709147863), (64, 1.5788868904113769), (65, 1.5816573245184762), (66, 1.5823012215750558), (67, 1.557662768591018), (68, 1.5704377038138253), (69, 1.5534706581206548), (70, 1.5038881392706007), (71, 1.5688252295766558), (72, 1.534168823560079), (73, 1.5065389156341553), (74, 1.4934504719007582), (75, 1.5046818006606328), (76, 1.4884595445224218), (77, 1.5193362372262138), (78, 1.4522329943520682), (79, 1.45651216506958), (80, 1.5225020102092197), (81, 1.465770655586606), (82, 1.6461065984907604), (83, 1.5035026448113578), (84, 1.4722885313488188), (85, 1.5263674508957636), (86, 1.463112339519319), (87, 1.4262456712268647), (88, 1.4056363679113841), (89, 1.4351102766536532), (90, 1.4376316763105847), (91, 1.392622090521313), (92, 1.4202804099945796), (93, 1.4080448712621416), (94, 1.4322894096374512), (95, 1.5598701102393013), (96, 1.45345740431831), (97, 1.4014215957550775), (98, 1.470726482073466), (99, 1.3834026609148298), (100, 1.4000631417546954), (101, 1.3679850260416666), (102, 1.5119590004285177), (103, 1.3624259142648607), (104, 1.3852353992916289), (105, 1.4248158437865122), (106, 1.3757775976544335), (107, 1.324321382954007), (108, 1.4173593543824696), (109, 1.4236820964586168), (110, 1.349148270629701), (111, 1.4005844695227487), (112, 1.360365525313786), (113, 1.400098469143822), (114, 1.3743674215816317), (115, 1.3596121595019386), (116, 1.3656628676823208), (117, 1.367076007525126), (118, 1.36276802221934), (119, 1.3583609433401198), (120, 1.3312781861850194), (121, 1.3404790089243934), (122, 1.3757619170915514), (123, 1.4011144819713774), (124, 1.3440612628346398), (125, 1.3660257435980296), (126, 1.5017632285753886), (127, 1.3487351377805075), (128, 1.3464248946734838), (129, 1.3401392715317861), (130, 1.3662643341791063), (131, 1.3450388056891305), (132, 1.355719146274385), (133, 1.3793930496488298), (134, 1.414487606003171), (135, 1.3545661733264014), (136, 1.4931453869456337), (137, 1.438442013377235), (138, 1.3737280612900145), (139, 1.3755145561127435), (140, 1.3683005985759553), (141, 1.3560937836056663), (142, 1.3535603466488066), (143, 1.3249336464064463), (144, 1.4036117479914711), (145, 1.351144025439308), (146, 1.3599221382822309), (147, 1.3782990665662855), (148, 1.3194776711009797), (149, 1.4219183467683338), (150, 1.3070332050323485), (151, 1.4284811593237376), (152, 1.316154408454895), (153, 1.4343549546741303), (154, 1.3613037194524493), (155, 1.316601171947661), (156, 1.4734187364578246), (157, 1.3683174144654047), (158, 1.369648463953109), (159, 1.3418067636943998), (160, 1.5095372268131801), (161, 1.3699169261114938), (162, 1.3557930605752126), (163, 1.3241350832439605), (164, 1.4177427507582165), (165, 1.2994494608470373), (166, 1.374614893822443), (167, 1.4751772352627346), (168, 1.2963680806614104), (169, 1.3995004489308311), (170, 1.392793893814087), (171, 1.3020834037235804), (172, 1.3129861059642973), (173, 1.483102178005945), (174, 1.3113880395889281), (175, 1.3533028772899083), (176, 1.4226825208891005), (177, 1.3438417656081063), (178, 1.3839228891191029), (179, 1.3529290607997349), (180, 1.3120444127491542)]","[(1, 10.666666666666666), (2, 10.3), (3, 9.833333333333334), (4, 9.533333333333333), (5, 9.933333333333334), (6, 9.8), (7, 8.166666666666666), (8, 10.566666666666666), (9, 10.066666666666666), (10, 10.5), (11, 10.033333333333333), (12, 9.533333333333333), (13, 16.566666666666666), (14, 10.366666666666667), (15, 16.666666666666668), (16, 11.366666666666667), (17, 14.433333333333334), (18, 19.1), (19, 18.0), (20, 17.833333333333332), (21, 21.5), (22, 20.266666666666666), (23, 23.366666666666667), (24, 22.466666666666665), (25, 24.366666666666667), (26, 22.7), (27, 19.1), (28, 24.766666666666666), (29, 24.233333333333334), (30, 26.133333333333333), (31, 25.366666666666667), (32, 25.366666666666667), (33, 26.933333333333334), (34, 25.933333333333334), (35, 26.9), (36, 23.966666666666665), (37, 27.0), (38, 26.333333333333332), (39, 25.6), (40, 29.633333333333333), (41, 28.033333333333335), (42, 27.7), (43, 27.1), (44, 33.0), (45, 32.53333333333333), (46, 33.666666666666664), (47, 32.766666666666666), (48, 34.2), (49, 35.9), (50, 35.6), (51, 35.63333333333333), (52, 36.63333333333333), (53, 33.53333333333333), (54, 35.46666666666667), (55, 36.0), (56, 37.53333333333333), (57, 40.6), (58, 39.13333333333333), (59, 33.733333333333334), (60, 39.8), (61, 36.5), (62, 38.3), (63, 38.43333333333333), (64, 41.56666666666667), (65, 41.63333333333333), (66, 40.9), (67, 41.733333333333334), (68, 41.43333333333333), (69, 43.43333333333333), (70, 43.333333333333336), (71, 40.56666666666667), (72, 42.13333333333333), (73, 43.5), (74, 44.96666666666667), (75, 43.233333333333334), (76, 44.166666666666664), (77, 44.266666666666666), (78, 45.56666666666667), (79, 46.2), (80, 43.56666666666667), (81, 46.63333333333333), (82, 39.03333333333333), (83, 44.46666666666667), (84, 44.733333333333334), (85, 44.333333333333336), (86, 45.86666666666667), (87, 47.166666666666664), (88, 47.766666666666666), (89, 47.266666666666666), (90, 47.0), (91, 48.666666666666664), (92, 47.4), (93, 47.9), (94, 46.733333333333334), (95, 43.86666666666667), (96, 47.333333333333336), (97, 48.86666666666667), (98, 46.06666666666667), (99, 47.96666666666667), (100, 49.0), (101, 49.266666666666666), (102, 45.56666666666667), (103, 48.8), (104, 49.7), (105, 47.166666666666664), (106, 50.333333333333336), (107, 51.13333333333333), (108, 47.3), (109, 47.3), (110, 50.3), (111, 49.166666666666664), (112, 49.63333333333333), (113, 48.06666666666667), (114, 49.03333333333333), (115, 50.0), (116, 49.06666666666667), (117, 48.3), (118, 49.46666666666667), (119, 50.166666666666664), (120, 50.96666666666667), (121, 51.56666666666667), (122, 48.733333333333334), (123, 48.03333333333333), (124, 51.53333333333333), (125, 50.03333333333333), (126, 47.43333333333333), (127, 50.7), (128, 51.03333333333333), (129, 50.56666666666667), (130, 49.8), (131, 50.86666666666667), (132, 50.46666666666667), (133, 48.8), (134, 46.93333333333333), (135, 50.63333333333333), (136, 45.46666666666667), (137, 47.733333333333334), (138, 49.43333333333333), (139, 50.333333333333336), (140, 50.0), (141, 50.0), (142, 50.7), (143, 53.03333333333333), (144, 49.666666666666664), (145, 50.7), (146, 50.9), (147, 50.666666666666664), (148, 53.3), (149, 50.56666666666667), (150, 53.96666666666667), (151, 49.63333333333333), (152, 52.86666666666667), (153, 48.7), (154, 50.96666666666667), (155, 51.96666666666667), (156, 47.766666666666666), (157, 52.43333333333333), (158, 51.63333333333333), (159, 52.333333333333336), (160, 47.7), (161, 49.833333333333336), (162, 51.266666666666666), (163, 54.06666666666667), (164, 51.6), (165, 55.0), (166, 51.0), (167, 49.666666666666664), (168, 52.86666666666667), (169, 51.46666666666667), (170, 51.233333333333334), (171, 54.03333333333333), (172, 53.06666666666667), (173, 49.3), (174, 53.666666666666664), (175, 53.8), (176, 50.333333333333336), (177, 51.46666666666667), (178, 50.1), (179, 53.2), (180, 52.9)]",1885352,0.3
